SDS 2.4	AQ Results	1.0
Filename	juuni2
PlateID	
Assay Type	Absolute Quantification
Run DateTime	6/2/13 8:51:19 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
278	L14	SYBR	SYBR	Unknown	25.708693	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
279	L15	SYBR	SYBR	Unknown	25.747477	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
280	L16	SYBR	SYBR	Unknown	27.326391	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
281	L17	SYBR	SYBR	Unknown	24.92094	82.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
282	L18	SYBR	SYBR	Unknown	27.806095	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
289	M1	SYBR	SYBR	Unknown	Undetermined	62.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true			true				
290	M2	SYBR	SYBR	Unknown	Undetermined	62.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true			true				
291	M3	SYBR	SYBR	Unknown	Undetermined	62.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true			true				
292	M4	SYBR	SYBR	Unknown	32.07745	84.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
293	M5	SYBR	SYBR	Unknown	32.701187	84.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
294	M6	SYBR	SYBR	Unknown	36.74835	83.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true							
295	M7	SYBR	SYBR	Unknown	23.933554	83.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
296	M8	SYBR	SYBR	Unknown	23.806437	83.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
297	M9	SYBR	SYBR	Unknown	23.87884	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
298	M10	SYBR	SYBR	Unknown	23.359972	83.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
299	M11	SYBR	SYBR	Unknown	23.4334	83.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
300	M12	SYBR	SYBR	Unknown	21.261398	74.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
301	M13	SYBR	SYBR	Unknown	27.52639	83.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
302	M14	SYBR	SYBR	Unknown	28.29554	83.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
303	M15	SYBR	SYBR	Unknown	28.281343	83.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
304	M16	SYBR	SYBR	Unknown	26.483074	83.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
305	M17	SYBR	SYBR	Unknown	26.469034	83.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
306	M18	SYBR	SYBR	Unknown	26.54778	83.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
313	N1	SYBR	SYBR	Unknown	Undetermined	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true			true				
314	N2	SYBR	SYBR	Unknown	31.034763	83.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
315	N3	SYBR	SYBR	Unknown	Undetermined	62.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true			true				
316	N4	SYBR	SYBR	Unknown	20.852648	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
317	N5	SYBR	SYBR	Unknown	20.613586	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
318	N6	SYBR	SYBR	Unknown	20.94087	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
319	N7	SYBR	SYBR	Unknown	21.746746	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
320	N8	SYBR	SYBR	Unknown	21.883562	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
321	N9	SYBR	SYBR	Unknown	22.139584	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
322	N10	SYBR	SYBR	Unknown	22.207539	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
323	N11	SYBR	SYBR	Unknown	21.912348	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
324	N12	SYBR	SYBR	Unknown	21.518171	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
325	N13	SYBR	SYBR	Unknown	26.465807	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
326	N14	SYBR	SYBR	Unknown	27.09137	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
327	N15	SYBR	SYBR	Unknown	27.085638	85.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
328	N16	SYBR	SYBR	Unknown	Undetermined	85.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true			true				
329	N17	SYBR	SYBR	Unknown	26.4548	85.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
330	N18	SYBR	SYBR	Unknown	26.0834	85.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
337	O1	SYBR	SYBR	Unknown	Undetermined	62.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true			true				
338	O2	SYBR	SYBR	Unknown	32.8494	74.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
339	O3	SYBR	SYBR	Unknown	Undetermined	62.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true			true				
361	P1	SYBR	SYBR	Unknown	Undetermined	64.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true			true				
362	P2	SYBR	SYBR	Unknown	34.678326	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
363	P3	SYBR	SYBR	Unknown	32.893147	82.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
Slope		cycles/log decade
Y-Intercept		
R^2		



NAP	LPL
	
