SDS 2.4	AQ Results	1.0
Filename	juuni2
PlateID	
Assay Type	Absolute Quantification
Run DateTime	6/2/13 8:51:19 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
61	C13	SYBR	SYBR	Unknown	26.539728	83.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
62	C14	SYBR	SYBR	Unknown	25.654799	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
63	C15	SYBR	SYBR	Unknown	24.762745	73.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
64	C16	SYBR	SYBR	Unknown	24.93532	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
65	C17	SYBR	SYBR	Unknown	25.266785	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
66	C18	SYBR	SYBR	Unknown	24.921818	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
73	D1	SYBR	SYBR	Unknown	20.636211	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
74	D2	SYBR	SYBR	Unknown	21.364437	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
75	D3	SYBR	SYBR	Unknown	20.947811	85.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
76	D4	SYBR	SYBR	Unknown	20.545137	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
77	D5	SYBR	SYBR	Unknown	20.612282	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
78	D6	SYBR	SYBR	Unknown	20.73516	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
79	D7	SYBR	SYBR	Unknown	21.645926	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
80	D8	SYBR	SYBR	Unknown	21.517832	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
81	D9	SYBR	SYBR	Unknown	21.536768	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
82	D10	SYBR	SYBR	Unknown	23.396643	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
83	D11	SYBR	SYBR	Unknown	21.616655	85.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
84	D12	SYBR	SYBR	Unknown	21.343298	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
85	D13	SYBR	SYBR	Unknown	25.619926	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
86	D14	SYBR	SYBR	Unknown	25.656267	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
87	D15	SYBR	SYBR	Unknown	28.106256	85.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
88	D16	SYBR	SYBR	Unknown	27.055258	85.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
89	D17	SYBR	SYBR	Unknown	25.642624	85.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
90	D18	SYBR	SYBR	Unknown	27.83504	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
97	E1	SYBR	SYBR	Unknown	30.511835	84.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
98	E2	SYBR	SYBR	Unknown	31.756773	84.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
99	E3	SYBR	SYBR	Unknown	30.329477	84.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
100	E4	SYBR	SYBR	Unknown	20.517014	83.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
101	E5	SYBR	SYBR	Unknown	20.975765	84.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
102	E6	SYBR	SYBR	Unknown	20.677647	84.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
103	E7	SYBR	SYBR	Unknown	22.989798	84.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
104	E8	SYBR	SYBR	Unknown	23.091444	84.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
105	E9	SYBR	SYBR	Unknown	22.593824	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
106	E10	SYBR	SYBR	Unknown	Undetermined	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true			true				
107	E11	SYBR	SYBR	Unknown	23.354345	83.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
108	E12	SYBR	SYBR	Unknown	22.791052	84.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
109	E13	SYBR	SYBR	Unknown	28.264482	83.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
110	E14	SYBR	SYBR	Unknown	31.871075	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
111	E15	SYBR	SYBR	Unknown	28.27668	83.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
112	E16	SYBR	SYBR	Unknown	25.19119	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
113	E17	SYBR	SYBR	Unknown	25.354715	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
114	E18	SYBR	SYBR	Unknown	24.912785	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
121	F1	SYBR	SYBR	Unknown	20.907732	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
122	F2	SYBR	SYBR	Unknown	21.044462	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
123	F3	SYBR	SYBR	Unknown	20.809135	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
124	F4	SYBR	SYBR	Unknown	21.609997	85.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
125	F5	SYBR	SYBR	Unknown	20.787893	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
126	F6	SYBR	SYBR	Unknown	21.86826	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
127	F7	SYBR	SYBR	Unknown	21.751888	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
128	F8	SYBR	SYBR	Unknown	21.82638	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
129	F9	SYBR	SYBR	Unknown	21.803072	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
130	F10	SYBR	SYBR	Unknown	22.97403	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
131	F11	SYBR	SYBR	Unknown	22.13355	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
132	F12	SYBR	SYBR	Unknown	22.312601	85.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
133	F13	SYBR	SYBR	Unknown	26.463455	85.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
134	F14	SYBR	SYBR	Unknown	26.132013	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
135	F15	SYBR	SYBR	Unknown	26.773783	85.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
136	F16	SYBR	SYBR	Unknown	25.17942	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
137	F17	SYBR	SYBR	Unknown	27.159195	85.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
138	F18	SYBR	SYBR	Unknown	25.311726	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
145	G1	SYBR	SYBR	Unknown	19.333197	84.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
146	G2	SYBR	SYBR	Unknown	19.162516	84.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
147	G3	SYBR	SYBR	Unknown	19.64546	84.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
